Cycles,DischargeAh_1,DischargeAh_2,DischargeAh_3,DischargeAh_4,DischargeAh_5,DischargeAh_7,DischargeAh_8,DischargeAh_9,DischargeAh_10,DischargeAh_11,DischargeAh_12,DischargeAh_13,DischargeAh_14,DischargeAh_15,DischargeAh_16,DischargeAh_17,DischargeAh_18,DischargeAh_19,DischargeAh_20,DischargeAh_21,DischargeAh_22,DischargeAh_23,DischargeAh_25,DischargeAh_26,DischargeAh_28,DischargeAh_29,DischargeAh_30,DischargeAh_32
1,0.965192127747471,0.964236727272727,0.864027453089915,NaN,0.965600794627223,0.961443773954319,0.953170998454839,0.977653697967964,0.974656950842342,0.976239959253977,0.973914601499427,0.97560687149913,0.978395587856884,NaN,0.983282890159788,0.925854015282922,0.834267557773055,0.879833757763838,0.91760816177963,0.926350453097598,0.93963163397085,0.921690417771796,0.932548542695244,0.934248947625977,0.966987503966395,0.94495807922817,0.944979158747233,NaN
2,0.981921832187656,0.979932363636364,0.945841223188314,0.974113987133845,0.981880588590069,0.982329273261837,0.97107112598911,0.985428400633977,0.981654550748955,0.982579994731994,0.980807151056095,0.983190314811401,0.987305819878107,0.972583651311542,0.990239044146251,0.9536801837701,0.922531968221703,0.912739395742537,0.948382226170032,0.955583376954976,0.973834250661091,0.950603873870924,0.950833387280671,0.956450831938012,0.980000302201538,0.867293850906933,0.952271698202939,NaN
3,0.989064126276022,0.986352363636364,0.968517856189997,0.98885024831072,0.988661830545161,0.98611697200354,0.976790201626467,0.987584670867157,0.984407089703971,0.985141554620928,0.984190348194958,0.985233282256447,0.990715780645086,0.978790274080181,0.993290170118594,0.959216164267967,0.929972398580917,0.917803840936506,0.954438252275503,0.961233673688161,0.974323919193162,0.955886288267394,0.949416113651407,0.957275452171059,0.984444007931112,NaN,0.962461966076035,NaN
4,0.99248436950305,0.989500727272727,0.978649078960082,0.991966247679998,0.992198855170875,0.989954379982489,0.980283453462582,0.990875531526742,0.986973303931869,0.986926258403629,0.985775433383306,0.988902847096281,0.993580964368794,0.983019338863788,0.99485786324331,0.969338521400778,0.939200981448972,0.926248510565595,0.962649013368045,0.969074718542185,0.986027919562143,0.964244057707225,0.953972792045564,0.962459147772075,0.991999046386257,0.809030651560902,0.966383840358745,NaN
5,0.993850350126051,0.991172363636364,0.984791989051068,0.995200145818355,0.993254128291165,0.992865817352297,0.983462276657631,0.992315625829691,0.988171426445668,0.988218476720212,0.987371377507057,0.990083588312736,0.996047530743768,0.984142048387371,0.996333225183169,0.967639210538653,0.939578997695971,0.92419754650202,0.959743079496015,0.96702503140197,0.973347656970666,0.961410335014598,0.957794905874006,0.961793777888959,0.994147027763927,NaN,0.967455874373202,0.839522479338114
6,0.996392906097317,0.992201818181818,0.982931593695423,0.998205841124537,0.994417700000511,0.992270757869934,0.982782333715277,0.993662810822773,0.989569984337178,0.989542468292674,0.987743136354374,0.992651797665541,0.997100139807743,0.985664306648369,0.996242508179865,0.973230697107496,0.944999552686885,0.930220458384945,0.964686537362595,0.971952437380337,0.986103253182461,0.96715907726552,0.959982415369839,0.964572277415399,0.99374980063093,0.825541529701479,0.970714250093052,0.981297967366661
7,0.997176803072526,0.993181454545455,0.982681377730923,0.99798848787234,0.995382177334017,0.993890843594783,0.983838223945864,0.995621326170714,0.991178598504527,0.990696155213626,0.988532006073339,0.993834807045694,0.997626120260586,0.987098773125846,0.998182754407119,0.976183395058835,0.948584657306823,0.935590154783349,0.968896771192908,0.976203723486055,0.991046829838263,0.969205424759186,0.965646555539555,0.965001995464911,0.994928722409419,0.979193291318034,0.972126455097925,0.983526501222214
8,0.998597890047136,0.993971636363636,0.984353930842326,0.997843465153319,0.99630253302013,0.997681082224521,0.986902644042675,0.995297433993258,0.990783179591381,0.990271346782529,0.988492722277617,0.993726907258351,0.99680101475662,0.987408607631926,0.9992481142324,0.975211288734705,0.950097822245101,0.933032525270676,0.966413246265163,0.974760561145819,0.994387260931062,0.969987530716854,0.970394471741063,0.968670556157669,0.997989016652984,0.982078347879747,0.975588603148927,0.988345429876204
9,0.998162878317877,0.993589818181818,0.984417025646055,0.998613062026325,0.99551308370934,0.994332421271635,0.984624655306703,0.996585260260591,0.991430666035536,0.991197219458832,0.989329179684082,0.993017944091061,0.997437830277159,0.98814939085639,1,0.975691716281468,0.9464980516214,0.932964037063167,0.966703839652367,0.974761683646991,0.99198004427772,0.96969885156886,0.969973021927281,0.967919758455259,0.999529237159373,0.98370104361275,0.974698544101187,0.98701204358761
10,0.999008815556487,0.993998181818182,0.985716778602857,0.998074199554155,0.995999515755804,0.99559982540084,0.98589963826316,0.99548034919706,0.99050128727617,0.990736189516033,0.988417348490704,0.992914256607728,0.997632601843492,0.98864281912874,0.999949314699221,0.980711640335662,0.955025599509569,0.938483597442518,0.970900966822174,0.979008105580964,0.996763729167948,0.973647395169385,0.970659694468702,0.969235991610666,0.99988314873856,0.984817028999658,0.974960773000595,0.994213280025038
