Cycles,DischargeAh_49,DischargeAh_50,DischargeAh_51,DischargeAh_52,DischargeAh_53,DischargeAh_54,DischargeAh_55,DischargeAh_56,DischargeAh_57,DischargeAh_58,DischargeAh_59,DischargeAh_60,DischargeAh_61,DischargeAh_62,DischargeAh_63,DischargeAh_64,DischargeAh_65,DischargeAh_66,DischargeAh_67,DischargeAh_68,DischargeAh_69,DischargeAh_70,DischargeAh_71,DischargeAh_72,DischargeAh_73,DischargeAh_74,DischargeAh_75,DischargeAh_76,DischargeAh_77,DischargeAh_78,DischargeAh_79,DischargeAh_80,DischargeAh_81,DischargeAh_82,DischargeAh_83,DischargeAh_84,DischargeAh_85,DischargeAh_86,DischargeAh_87,DischargeAh_88,DischargeAh_89,DischargeAh_90,DischargeAh_91,DischargeAh_92,DischargeAh_93,DischargeAh_94,DischargeAh_95,DischargeAh_96
1,0.999578650857725,0.996928048318155,0.999631626273578,0.999601966169092,0.999688829095264,0.999450661785983,0.999692934387592,0.999721097733226,1,1,1,1,1,1,1,0.99997251382173,0.998192391759443,0.998574361576968,0.998347175136018,0.99525823923669,0.997478788006122,0.998719528447832,0.99831820142724,0.997485557330503,0.999374791635691,0.998568319674029,0.998653215233194,0.999167052490171,0.999733735715614,0.999644439446895,0.997673186758959,0.997866684768271,0.980871457871165,0.977261071170529,0.989413470417293,0.991956013229796,0.990330228205916,0.991507679534496,0.992128826187778,0.984473026715818,0.995714962817684,0.99712071004684,0.992940942695244,0.985056798242513,0.995002283998956,0.996088299441019,0.995823375282282,0.993666818478379
2,1,0.997094662646662,1,1,1,1,1,1,0.999716358959113,0.999775940918934,0.999577213799426,0.999720283446108,0.999524550194654,0.999850207193044,0.999905597084691,1,1,0.999996045385789,1,0.99626681674791,0.998611363706497,1,0.999778043423137,0.998925653171139,0.997937520413161,0.99849423531046,0.999282597054062,0.998797709271131,0.999929509224134,1,0.997820857051133,0.99699811630178,0.985478143791944,0.984547813906827,0.993264581330828,0.99531090090838,0.993608767911511,0.995315473474034,0.995206431851602,0.991853488349127,0.997470948761951,0.998866128973433,0.996174036546176,0.98651965667818,0.997295745236231,0.997697586491469,0.995629430447588,0.996563593991117
3,0.999820263652596,0.997038690645679,0.99996633319093,0.999843278277451,0.999963064798072,0.999450335187758,0.999806613997292,0.999846685303645,0.999279218060805,0.999456725131798,0.998885437097407,0.998996168730838,0.998927041892546,0.999059142532279,0.999199561041719,0.999176025455866,0.99987043770955,1,0.999561030326892,0.996611994840081,0.998997096010248,0.999868381281569,0.999511958980844,0.998778437558171,0.997976923008253,0.998364278989366,1,0.998648000510119,1,0.999106310442977,0.997406327656541,0.996820082907406,0.987089629288574,0.99060690845825,0.995394558599403,0.997171820617804,0.995694254350437,0.996898414333547,0.997094859866541,0.994734287862692,0.995568194818992,0.997710440210284,0.998763443399684,0.989264765807677,0.998077525450274,0.997855366097383,0.998057957073327,0.997237807032686
4,0.999473886502226,0.996480272310293,0.999208339693527,0.999026882693463,0.99919461648186,0.998874215919312,0.999092849781216,0.99901356671962,0.998671285819161,0.998860855662478,0.998486054590179,0.998225737313462,0.998422066715165,0.99892155280532,0.998994563125305,0.998789081146222,0.999747798594925,0.999998681795263,0.999825601213393,0.996647498872418,0.999617222241554,0.999885246996745,0.999535010850845,0.998908314443389,0.999045718400119,0.997897856183729,0.999895359501665,0.997874505244889,0.999411140374531,0.998415886606148,0.996551883198681,0.996428532859812,0.991529236951153,0.991548926177188,0.998194507353935,0.998358832758605,0.997860394961035,0.998955888015845,0.998459632460655,0.996711134247797,1,0.998385813130761,0.999498992610304,0.990143380694125,0.998947729052467,0.998944889466621,0.999459354449104,0.998429220146162
5,0.998912742423082,0.996374511261925,0.999004377665766,0.999083604153716,0.998898154285856,0.998746189415213,0.998926903684297,0.99892418751366,0.998124632176725,0.99866446194963,0.998130440028948,0.997928160070522,0.998274135469712,0.998446547916461,0.998571430317206,0.998396334198944,0.999106910318499,0.99963024357128,0.999302074552839,0.996717191972933,0.999865732330014,0.999181516763529,0.999347632078982,0.999200128502873,0.998218571735964,0.997449337099289,0.999644222305661,0.99830638113571,0.998862912986679,0.998113768256073,0.995946651707697,0.995873759821535,0.989719629428097,0.992315766590663,0.999528149653568,0.999312139893724,0.998584187592525,0.999273175057884,0.999237118198347,0.997463429223609,0.997507885919752,0.997756355148465,1,0.990778078719266,0.99922800835291,0.999464328498438,0.999322490368434,0.999379750008046
6,0.998850538587004,0.996313332563176,0.999162578982171,0.998778685321142,0.999085118316853,0.998549903882142,0.998935723654016,0.998876562097345,0.997319212964367,0.997826292497122,0.997654159672154,0.997293954247574,0.997327192867644,0.997757073896666,0.997969573543232,0.997711317556063,0.998599540432995,0.999227202472952,0.999105215316441,0.996437762088794,0.999891010106515,0.99944475420039,0.999209979483836,0.99904178993248,0.997529641987405,0.997007917766356,0.999132407162334,0.997482982950143,0.998957721541119,0.998229611181715,0.995332132776954,0.996105789479368,0.990716169268762,0.995440113633086,0.998536143806544,1,0.998701153599062,0.9993469058573,0.999924546330465,0.997629900498144,0.997970744463512,0.998952423006185,0.999154672187086,0.990156556703761,0.999763769250848,0.99987176348902,0.998437414358599,0.999922956368924
7,0.998530025136897,0.995679417110185,0.998401316862528,0.998668848967473,0.998489905903487,0.998177255307711,0.998313752456117,0.998362468562332,0.997096850522688,0.997488227777793,0.997311310761839,0.996890726488068,0.996833784330855,0.997515757989738,0.997306003536596,0.997046152041933,0.999295154765947,0.999083518156622,0.998933458935692,0.996699439956764,1,0.999293954864701,0.999964434257713,0.999903491987054,0.996934293402189,0.997503356947724,0.998796942035319,0.996999971968113,0.998685300857094,0.997425197906054,0.995078895252849,0.995577243197628,0.991150084411145,0.993634169283187,0.998922585039824,0.99958944657957,0.999604410491327,1,0.99982440505477,0.999481188040591,0.998192367410313,0.999495261317869,0.998465379835593,0.989855758044757,1,0.999868192345676,0.998856763307194,1
8,0.998308710435905,0.995317551615459,0.998371245537922,0.998265241351453,0.998099961691985,0.997788276822042,0.997917180484347,0.9980189784022,0.996607228447831,0.997175700321435,0.996937763500512,0.996523220106656,0.996307502183964,0.996827504277942,0.996632351665219,0.996449701973477,0.999103613568106,0.998527565308806,0.998374590096791,0.996371027657641,0.999466868713795,0.999293293464105,1,1,0.997034954719338,0.997281721226714,0.998503333107638,0.996897393742975,0.998057963733881,0.996942673506445,0.995241115867312,0.994921574284202,0.993280593807989,0.994349652494659,0.999808879607454,0.999731413650186,0.999483603809949,0.999633442613327,0.999915505798632,0.999238534996353,0.998022064231429,0.999358167779046,0.998038969775051,0.989500648516767,0.999177760375881,1,0.999611137363213,0.999600153307073
9,0.997665719204027,0.995521263665548,0.99811629300322,0.997964256955428,0.997930974971661,0.99760146263749,0.99784139407788,0.998050293744434,0.996003846597218,0.996577702746867,0.996362397377084,0.995944412692108,0.995704819332118,0.996371719240078,0.996462182008821,0.99597877211912,0.999088118841258,0.998634010341316,0.99867912737189,0.996193178754913,0.998734141478074,0.998720189848427,0.999858724968139,0.999855728699291,0.996364802770003,0.997428655214459,0.998157096164618,0.996744912597499,0.99806258103361,0.996892320448099,0.995043293400438,0.995227347410416,0.989907636069371,0.996922437258032,0.998324371210408,0.999579679803213,0.998893885645652,0.999308817434853,1,0.999013516621028,0.997144725014301,1,0.997233058018154,0.989530856929103,0.998854085095275,0.999869815592651,1,0.998944794825008
10,0.997649022384869,0.995128483402837,0.997461587968594,0.997734748156716,0.99777996556201,0.99716349441811,0.997477488660622,0.997667007003546,0.995649826175063,0.99620011607294,0.995762411784033,0.995570851839833,0.994917070230815,0.995729837232268,0.995755840454796,0.995436989005223,0.997876892746819,0.998121887801004,0.997740082390215,0.996021575931948,0.998036212220393,0.998328309995813,0.999697691190563,0.999650935424362,0.996905972786967,0.997327406584248,0.997675442106105,0.995998525091465,0.997421699831192,0.99673570081263,0.99442908405102,0.994848756466053,0.992239057943717,0.993623968195118,0.998488538727082,0.998996812542773,1,0.999792785004483,0.999459654366559,1,0.998424450437199,0.99919306938431,0.997120673395628,0.989886287823182,0.998141151135474,0.999154937625112,0.999641623675021,0.998057980371103
