Cycles,DischargeAh_145,DischargeAh_146,DischargeAh_147,DischargeAh_148,DischargeAh_149,DischargeAh_150,DischargeAh_151,DischargeAh_152,DischargeAh_153,DischargeAh_154,DischargeAh_155,DischargeAh_156,DischargeAh_157,DischargeAh_158,DischargeAh_159,DischargeAh_160,DischargeAh_161,DischargeAh_162,DischargeAh_163,DischargeAh_164,DischargeAh_165,DischargeAh_166,DischargeAh_167,DischargeAh_168,DischargeAh_169,DischargeAh_170,DischargeAh_171,DischargeAh_172,DischargeAh_173,DischargeAh_174,DischargeAh_175,DischargeAh_176,DischargeAh_177,DischargeAh_178,DischargeAh_179,DischargeAh_185,DischargeAh_186,DischargeAh_187
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.998301538031226,0.998426961529211,0.998234673342244,0.998141892462564,0.998186043177464,0.998275084165538,0.998264420779628,0.998354431551946,0.999045416790392,0.998823978997259,0.998917668731948,0.998900254861572,0.998936403295083,0.998921104673198,0.998891862723046,0.998895247550441,0.998906750882765,0.998786553045496,0.998874002543169,0.998938404070527,0.998867193267042,0.998982797141611,0.998861523468982,0.998904779754821,0.998944243331507,0.998895973643486,0.99929676303376,0.999311219693592,0.999289973216674,0.999231075373933,0.998888974184568,0.999261303219138,0.999449596497732,0.998978792727938,0.999141380950941,0.998998727957133,0.998975245174272,0.999159419640487
3,0.997170456821251,0.997410829667979,0.997183356071865,0.99707616797415,0.997196612183354,0.997207528608886,0.997051236154623,0.99727096780168,0.997816619665595,0.997636126797307,0.997817555460586,0.997707902720634,0.997817589326473,0.997759035895833,0.997732725778917,0.997614267833459,0.997250050864951,0.997171709068919,0.997308786220199,0.997418105237268,0.997264240788904,0.99744221508853,0.997408378681827,0.997350413046552,0.997755408091355,0.997684780437092,0.998171465248052,0.998286514192468,0.998207716673192,0.998131040568725,0.997699396999219,0.998215781438424,0.997784736999812,0.997293816601078,0.997578808849059,0.997914728864383,0.997787641713449,0.998208050850969
4,0.995731149847712,0.996104111125753,0.995792884342482,0.995638821978249,0.995738001380158,0.995819459836612,0.995653369675608,0.995903827929905,0.996986008301391,0.996596164562488,0.996695511051812,0.996595139345431,0.996770528272715,0.996698131989187,0.996580074341596,0.996603108352817,0.995800824274638,0.995586792464473,0.995909735915817,0.996038307226415,0.995758164952136,0.996071885208781,0.995969102720848,0.99593252430512,0.996569530152795,0.996490805173339,0.997088877763119,0.997231216034354,0.99712605379759,0.996992069108698,0.996498215634222,0.997102538360551,0.99650014474279,0.995856444351187,0.996282924205706,0.996596590851853,0.996527932665603,0.997179344985657
5,0.994378636795654,0.994821966510039,0.994489509447852,0.994351353086194,0.994435373634802,0.994431391064338,0.994340622786545,0.994592558980865,0.995983017037864,0.995596132618256,0.995679862296166,0.995549242368207,0.995752109329001,0.995647551028534,0.995512324084313,0.995511091655357,0.994501645431,0.994328608716579,0.994614808125856,0.994767650992268,0.994417676984803,0.994794224233503,0.994663892079575,0.994595534268012,0.995533291674812,0.995439620089064,0.995956164994638,0.996171165618843,0.996015598029854,0.995944940597823,0.995424085159206,0.996064442160666,0.994936859132254,0.994152739213121,0.994568868535494,0.995374611587343,0.995076654960712,0.995997499434549
6,0.993118438126515,0.993656855219333,0.993236607630606,0.993152336255425,0.993218275061201,0.993203578899875,0.993103469468341,0.993468040906158,0.995157128410628,0.994720032464805,0.994806765933712,0.994638261663009,0.994907610001943,0.994769510736601,0.994542446020685,0.994608630337983,0.993296014873869,0.993080606445801,0.993428302895159,0.993612900250565,0.993242776886905,0.993553815542084,0.993480727108655,0.99341509248698,0.994538455419122,0.99438635697723,0.995055689486622,0.995261702359585,0.995057418073091,0.994930804214313,0.994443978293638,0.995110403535765,0.993442135895704,0.99271695416757,0.993261208908889,0.994095242339887,0.993970323051362,0.99480552640923
7,0.99209193899154,0.992517546551464,0.992136048333511,0.991991095825831,0.99208547502379,0.99207993353049,0.991964034668564,0.992358956788009,0.994149119239073,0.993659365634868,0.993813048315481,0.993654793048498,0.993792634666638,0.993726008367485,0.993485308410906,0.993518983082775,0.991716499910928,0.991477486594389,0.991991473625368,0.992144251610225,0.991769199603951,0.99221581202436,0.992082133037794,0.991987322987768,0.993481220099833,0.993218505488516,0.994091445126755,0.994325507652471,0.994072523061771,0.99399454114044,0.993400792297681,0.994121019146118,0.992350534024713,0.991424652394314,0.991991420174365,0.992634239901729,0.992537988339671,0.99363718415707
8,0.990829286783985,0.991381309624409,0.991004712769719,0.990796378748041,0.990924062709496,0.990872769813572,0.990756381280451,0.991177333074043,0.993154097594179,0.992831773389981,0.992899349712139,0.992862455819359,0.993034947508166,0.993009006033025,0.992619788047742,0.992676942542802,0.990881357617192,0.990695981093306,0.991204258272979,0.991374110340799,0.990970973220263,0.991445520997819,0.991306095164187,0.991191304439116,0.992548191447425,0.99239827832448,0.993127793965509,0.993342087387479,0.993190035759585,0.993052927991858,0.992477813701144,0.993202326285962,0.990808515446849,0.989992359198309,0.990632523458472,0.991466292695629,0.991316470810375,0.992844479130191
9,0.989890501647398,0.990499720010825,0.990094966326148,0.989823713199105,0.989974627371242,0.989926023084348,0.989805623116883,0.990283706989422,0.992464873167947,0.991997378206698,0.992025660616241,0.991873957431549,0.992119581104711,0.99214246845234,0.99166288099773,0.991719391693091,0.989596380823651,0.989494875323185,0.989987345582318,0.990095153182789,0.989583749237445,0.990243288200601,0.990264700416404,0.990069220883723,0.991635863906164,0.991472368615965,0.992247487210638,0.992488760168717,0.992278161897386,0.992131229010245,0.991464679555042,0.992312741702656,0.989683267225662,0.988627046025434,0.989322954375122,0.99010602799349,0.989952880832074,0.991207817919062
10,0.98867692020817,0.989417545722094,0.988943626189003,0.988648959260148,0.988793524887912,0.98881378058898,0.988746083961103,0.989057942159705,0.991708349739925,0.991207350012955,0.991223099533578,0.991173931335902,0.991375181523063,0.991359104322217,0.990961561875125,0.991009743738897,0.988203036213067,0.988122535619743,0.98874801122926,0.988838946704994,0.988303615727195,0.988940689746047,0.98880015237217,0.988659669031667,0.990786526888821,0.99055120868473,0.991363028065413,0.991629195612122,0.991390331584289,0.991256789021885,0.99065000663521,0.991434741025443,0.988549448707726,0.987380773178024,0.988125406754067,0.989085829466887,0.989023757568795,0.990282841941124
